zipcode,neighbourhood
02108,Beacon Hill
02109,North End
02110,Waterfront
02111,Chinatown
02113,North End
02114,West End
02115,Fenway
02116,Back Bay
02118,South End
02119,Roxbury
02120,Mission Hill
02121,Dorchester
02122,Dorchester
02124,Dorchester
02125,Dorchester
02126,Mattapan
02127,South Boston
02128,East Boston
02129,Charlestown
02130,Jamaica Plain
02131,Roslindale
02132,West Roxbury
02134,Allston
02135,Brighton
02136,Hyde Park
02138,Cambridge
02139,Cambridge
02140,Cambridge
02141,Cambridge
02142,Cambridge
02143,Somerville
02144,Somerville
02145,Somerville
